Cell Ontology ID, Cell Ontology Label, Cytokine Ontology Label, Actor, Action Sentiment, NumPapers, Enrichment Score
CL_0000084,T cell,IFNG,cell,Positive,809,4.28
CL_0000084,T cell,IL2,cell,Positive,701,5.3
CL_0000235,macrophage,TNF,cell,Positive,353,4.78
CL_0000625,"CD8-positive, alpha-beta T cell",IFNG,cell,Positive,338,8.88
CL_0000084,T cell,IL2,cytokine,Positive,313,1.58
CL_0000623,natural killer cell,IFNG,cell,Positive,285,7.62
CL_0000084,T cell,IL2,cytokine,Unknown,260,4.52
CL_0000624,"CD4-positive, alpha-beta T cell",IFNG,cell,Positive,236,5.41
CL_0000235,macrophage,IFNG,cell,Positive,213,1.92
CL_0000576,monocyte,TNF,cell,Positive,209,4.33
CL_0000084,T cell,IFNG,cytokine,Unknown,197,2.36
CL_0000235,macrophage,IFNG,cytokine,Positive,184,1.12
CL_0000542,lymphocyte,IL2,cell,Positive,166,5.92
CL_0000775,neutrophil,CXCL8,cell,Positive,162,11.04
CL_0000084,T cell,IL4,cell,Positive,153,2.58
CL_0000084,T cell,IL10,cell,Positive,149,2.02
CL_0000775,neutrophil,CXCL8,cytokine,Positive,143,6.35
CL_0000542,lymphocyte,IFNG,cell,Positive,141,3.5
CL_0000623,natural killer cell,IL2,cytokine,Positive,137,3.41
CL_0000542,lymphocyte,IL2,cytokine,Positive,131,3.23
CL_0000775,neutrophil,CSF3,cytokine,Positive,128,6.56
CL_0000738,leukocyte,IFNA,cell,Positive,124,32.19
CL_0000235,macrophage,IL1B,cell,Positive,122,5.62
CL_0000235,macrophage,IL10,cell,Positive,115,2.87
CL_0000624,"CD4-positive, alpha-beta T cell",IL2,cell,Positive,113,3.63
CL_0000576,monocyte,IL1,cell,Positive,113,8.15
CL_0000084,T cell,IFNG,cytokine,Positive,112,0.38
CL_0000775,neutrophil,CSF3,cell,Positive,111,8.05
CL_0000084,T cell,TNF,cell,Positive,110,0.84
CL_0000236,B cell,IL4,cell,Positive,105,6.65
CL_0000235,macrophage,IL6,cell,Positive,103,2.55
CL_0000236,B cell,IL4,cytokine,Positive,103,4.51
CL_0000775,neutrophil,CXCL8,cytokine,Unknown,102,15.79
CL_0000771,eosinophil,IL5,cell,Positive,101,29.86
CL_0000771,eosinophil,IL5,cytokine,Positive,100,22.42
CL_0000084,T cell,IL17,cell,Positive,96,4.59
CL_0000236,B cell,IL10,cell,Positive,95,5.49
CL_0000775,neutrophil,CSF3,cytokine,Unknown,93,16.08
CL_0000115,endothelial cell,TNF,cytokine,Positive,91,2.93
CL_0000235,macrophage,IL1,cell,Positive,91,3.99
CL_0000235,macrophage,IFNG,cytokine,Unknown,91,1.88
CL_0000545,T-helper 1 cell,IFNG,cell,Positive,88,5.01
CL_0000576,monocyte,IL1B,cell,Positive,87,6.2
CL_0000576,monocyte,IL6,cell,Positive,87,3.49
CL_0000057,fibroblast,TGFB1,cell,Positive,84,8.56
CL_0000625,"CD8-positive, alpha-beta T cell",IFNG,cytokine,Unknown,83,5.06
CL_0000623,natural killer cell,IL2,cell,Positive,83,2.88
CL_0000115,endothelial cell,FGF2,cytokine,Positive,80,10.82
CL_0000576,monocyte,CCL2,cell,Positive,80,6.16
CL_0000057,fibroblast,TGFB1,cytokine,Positive,79,5.43
CL_0000775,neutrophil,TNF,cytokine,Positive,78,1.13
CL_0000233,platelet,CD40LG,cell,Positive,77,33.23
CL_0000576,monocyte,IL10,cell,Positive,76,3.28
CL_0000235,macrophage,CCL2,cell,Positive,75,3.62
CL_0000057,fibroblast,TGFB,cell,Positive,74,5.37
CL_0000235,macrophage,CSF1,cytokine,Positive,73,4.14
CL_0000576,monocyte,IFNG,cell,Positive,73,1.03
CL_0000542,lymphocyte,IL2,cytokine,Unknown,73,6.11
CL_0000576,monocyte,IFNG,cytokine,Positive,73,0.68
CL_0000235,macrophage,CSF1,cell,Positive,73,6.68
CL_0000235,macrophage,TNF,cytokine,Unknown,72,2.13
CL_0000084,T cell,CD40LG,cell,Positive,70,3.3
CL_0000576,monocyte,TNF,cytokine,Positive,69,0.9
CL_0000775,neutrophil,TNF,cell,Positive,69,1.52
CL_0000084,T cell,IL12,cytokine,Positive,69,1.35
CL_0000236,B cell,IL2,cell,Positive,68,1.93
CL_0000034,stem cell,CSF3,cytokine,Positive,68,21.85
CL_0000775,neutrophil,CSF2,cytokine,Positive,67,3.39
CL_0000624,"CD4-positive, alpha-beta T cell",IL4,cell,Positive,66,4.72
CL_0000233,platelet,PF4,cell,Positive,66,60.69
CL_0000235,macrophage,TNF,cytokine,Positive,66,0.56
CL_0000115,endothelial cell,TNF,cell,Positive,64,2.93
CL_0000057,fibroblast,IL6,cell,Positive,63,4.85
