Element,Observed Shift
Actinomyces oris,1
Aggregatibacter sp. oral taxon 458,1
Campylobacter showae,1
Fusobacterium necrophorum,1
Prevotella sp. oral taxon 314,1
Streptococcus sanguinis,1
Streptococcus sobrinus,1
Streptococcus sp. oral taxon 431,1
TM7 phylum sp. oral taxon 351,1
Granzyme B,1
SCF,1
TRAIL,-1
ENA-78,-1
EGF,-1
Eotaxin,-1
Flt-3L,-1
GM-CSF,-1
IFN-A2,-1
IFN-Y,-1
GRO,-1
IL-10,-1
MCP-3,-1
IL-12p40,-1
MDC,-1
IL-12p70,-1
IL-13,-1
IL-15,-1
IL-17A,-1
IL-2,-1
IL-6,-1
IL-7,-1
IL-8,-1
IP-10,-1
MCP-1,-1
MIP-1A,-1
MIP-1B,-1
TNF-A,-1
VEGF,-1
MMP-2,1
RANKL,-1
GDF-15,1
Periostin,1
LEC,1
Monocyte,1
Th17,1
