Element,Observed Shift
MMP-8,1
MIP-1D,1
EGF,1
PDGF,1
IL-1α,1
IL-1β,1
GDF-15,1
B-cell,-1
Anaeroglobus geminatus,1
Bacteroidetes bacterium oral taxon 272,1
Brevundimonas diminuta,1
Dialister invisus,1
Dialister micraerophilus,1
Eggerthia catenaformis,1
Fusobacteria bacterium oral taxon 220,1
Fusobacterium naviforme,1
Lactobacillus paracasei,1
Lactobacillus rhamnosus,1
Leptotrichia wadei,1
Streptococcus constellatus,1
Streptococcus mitis,1
Streptococcus salivarius,1
Streptococcus sanguinis,1
Streptococcus sp. oral taxon 064,1
Veillonella atypica,1
Xanthomonas sp. oral taxon 037,1
Lactobacillus panis,-1
