PMID or Knowledge Base ID,Evidence Source,Element A,Relation,Element B,Supporting Evidence
34129722,PubMed,B-cell,activates,IL-1β,“B cells are considered to have a function of immunoregulation”
38088123,PubMed,B-cell,activates,IL-1β,"“B cells, abundant in periodontitis lesions, require the cytokines B cell-activating factor (BAFF)”"
37042710,PubMed,MMP-8,elevation,IL-1β,"“salivary concentrations of IL-1β, MMP-8, and resistin appear to serve as biomarkers”"
37042710,PubMed,IL-1β,association,MMP-8,"“salivary concentrations of IL-1β, MMP-8, and resistin appear to serve as biomarkers”"
39278722,PubMed,MMP-8,increases with,IL-1β,"“During monitoring, progressing sites had significantly higher levels of IL-1β, MMP-8”"
39278722,PubMed,MMP-8,decreases post-treatment,EGF,"“Treatment led to significant reductions in Eotaxin, Flt-3L, GDF-15, GM-CSF, IL-1β, IL-17, MIP-1d, RANTES and sCD40L, and increases in IP-10 and MMP-9.”"
36432555,PubMed,Lactobacillus rhamnosus,inhibits,MMP-8,“LAB treatment inhibited osteoclastogenesis by reducing tartrate-resistant acid phosphatase (TRAP) activity and cathepsin K (CtsK) through the downregulation of nuclear factor of activated T cells cytoplasmic 1 (NFATc1) and c-fos gene expression in RANKL-induced RAW264.7 cells.”
36432555,PubMed,IL-1β,associated with,MMP-8,“...pro-inflammatory cytokines (IL-1β and IL-6) and matrix metalloproteinase (MMP-8 and MMP-9) in HGF-1 cells.”
31389012,PubMed,EGF,increases with,IL-1α,“Testosterone supplementation significantly increased EGF levels in tissue samples...”
41282272,PubMed,Lactobacillus rhamnosus,suppresses,IL-1β,"“...probiotic supplementation suppressed inflammation by reducing TNF-α, IL-6, and IL-1β levels while increasing IL-10 expression in the gingival epithelium...”"
35578115,PubMed,B-cell,depletion reduces,IL-1β,“GCF IL-1β levels were significantly lower in B cell depletion group...”
35578115,PubMed,B-cell,depletion reduces,MMP-8,“MMP-8 levels were significantly lower in DMARD group...”
33098098,PubMed,MMP-8,correlates with,IL-1β,“MMP-8 demonstrating the strongest positive correlation with PD ≥5 mm”
28985543,PubMed,IL-1β,correlates with,B-cell,“positive correlation between the expression levels of IL-10 and the number of IL-10 producing CD19+ B cells”
40605203,PubMed,IL-1β,correlates with,MMP-8,"“significantly higher levels of IL-1β, MMP-8, and IL-6 in periodontitis patients”"
34001101,PubMed,IL-1β,correlates with,MMP-8,“the combination of IL-1β and MMP-8 exhibited the best ability to discriminate”
40634914,PubMed,IL-1β,correlates with,MMP-8,“salivary and serum levels of IL-1β and MMP-8 may serve as potential biomarkers”
30015235,PubMed,B-cell,secretes,IL-1β,“switched memory B cells produced more RANKL in terms of both protein and mRNA levels than other subpopulations”
33383828,PubMed,MMP-8,associated with,IL-1β,"“biomarkers showing high levels in periodontal disease were salivary IL-1β, IL-4, IL-6, MMP-8”"
41913520,PubMed,MMP-8,Increases,IL-1β,“Inflammatory markers were significantly reduced at 3 months”
29472810,PubMed,MMP-8,Increases,IL-1β,“significantly higher concentrations of MMP-8 and IL-1β in GCF”
41913520,PubMed,IL-1β,Inhibits,IL-1β,“reduced IL-1β...inflammatory markers were significantly reduced”
36981618,PubMed,IL-1β,increases,EGF,“over expression of interleukin 1-β (IL-1β) are significant in patients suffering from cognitive decline with pre-existing severe periodontitis.”
38086426,PubMed,MMP-8,as a diagnostic marker,IL-1β,“The test also revealed that IL-1β levels were higher in the periodontitis group compared with the healthy control and gingivitis group.”
38088123,PubMed,IL-1β,produced by,B-cell,“the mRNA expression of BAFF and APRIL was analyzed by real-time quantitative polymerase chain reaction (qPCR)... IL-1β.”
36852252,PubMed,IL-1β,and,MMP-8,“MMP-8 and IL-1β... associated with periodontal disease”
