Element,GPT shift 1,GPT shift 2,Biological Group,Group ID based on Biological Group,Notes (if any),Observed Shift
IL-10,1,-1,Anti-inflammatory Cytokines,2,Promotes resolution of inflammation,-1
IL-1B,-1,1,Pro-inflammatory Cytokines,1,Associated with inflammation,1
IL-4,1,,,,,1
IL-6,-1,1,Pro-inflammatory Cytokines,1,Associated with inflammation,1
MCP-1,0,1,Chemokines,5,Involved in monocyte recruitment,1
MIP-1D,0,1,Chemokines,5,Involved in inflammatory response,-1
Porphyromonas gingivalis,-1,1,Periodontal Pathogens,4,Key pathogen in periodontitis,1
Tannerella forsythia,-1,1,Periodontal Pathogens,4,Key pathogen in periodontitis,1
Th17,-1,1,T-helper Cell Subsets,3,Associated with inflammation,-1
Treponema denticola,-1,1,Periodontal Pathogens,4,Key pathogen in periodontitis,1
